match_id,season_id,date,home_team_id,away_team_id,goal_home_ft,goal_away_ft
218,1,2010-11-06,3,19,2,1
219,1,2010-11-06,8,4,2,0
220,1,2011-05-07,15,18,1,1
221,1,2011-05-07,9,8,1,2
222,1,2011-05-07,16,7,2,1
223,1,2011-05-07,17,11,2,1
224,1,2011-05-07,12,1,1,1
225,1,2011-05-07,14,6,1,1
226,1,2011-04-09,6,11,1,1
227,1,2011-04-09,9,14,3,0
228,1,2011-04-09,20,18,1,0
229,1,2011-04-09,3,5,2,0
230,1,2011-04-09,8,13,2,3
231,1,2011-04-09,12,4,3,2
232,1,2011-04-09,19,16,0,3
233,1,2011-05-01,10,3,1,0
234,1,2011-05-01,11,19,1,1
235,1,2011-05-01,2,17,3,0
236,1,2011-05-01,7,14,2,1
237,1,2011-04-10,15,17,1,0
238,1,2011-04-10,1,10,1,3
239,1,2010-12-12,9,6,2,1
240,1,2010-12-12,12,20,1,1
241,1,2010-12-12,19,11,1,0
242,1,2010-09-12,11,2,0,0
243,1,2011-02-13,9,16,2,0
244,1,2010-11-14,20,8,0,3
245,1,2010-11-14,16,10,1,2
246,1,2010-08-15,2,10,1,1
247,1,2011-05-15,10,15,1,2
248,1,2011-05-15,11,5,0,2
249,1,2011-05-15,20,17,2,2
250,1,2011-05-15,2,12,0,2
251,1,2011-05-15,18,14,3,2
252,1,2011-01-16,11,15,1,1
253,1,2011-01-16,2,16,2,2
254,1,2011-01-16,8,17,1,1
255,1,2011-01-16,12,3,0,0
256,1,2011-04-17,10,2,1,1
257,1,2010-10-17,1,7,2,3
258,1,2010-10-17,16,2,2,0
259,1,2010-09-19,20,1,4,0
260,1,2010-09-19,3,2,3,2
261,1,2010-09-19,18,7,0,2
262,1,2011-01-02,20,15,3,3
263,1,2011-01-02,18,17,0,1
264,1,2011-02-20,13,19,1,1
265,1,2011-03-20,20,7,2,0
266,1,2011-03-20,8,2,0,2
267,1,2010-11-21,6,15,2,0
268,1,2010-11-21,5,7,1,4
269,1,2010-08-22,5,3,2,2
270,1,2010-08-22,17,15,6,0
271,1,2011-05-22,15,2,1,0
272,1,2011-05-22,9,7,0,2
273,1,2011-05-22,16,20,1,0
274,1,2011-05-22,5,10,2,2
275,1,2011-05-22,3,1,4,2
276,1,2011-05-22,17,13,3,3
277,1,2011-05-22,4,18,0,1
278,1,2011-05-22,12,11,2,1
279,1,2011-05-22,14,8,0,3
280,1,2011-05-22,19,6,2,3
281,1,2011-01-23,6,13,2,0
282,1,2011-04-24,9,10,2,1
283,1,2010-10-24,2,6,2,1
284,1,2010-10-24,7,10,0,3
285,1,2010-10-24,4,3,1,2
286,1,2010-12-26,15,12,1,2
287,1,2010-12-26,6,4,0,2
288,1,2010-12-26,9,13,2,0
289,1,2010-12-26,5,14,1,3
290,1,2010-12-26,3,8,2,0
291,1,2010-12-26,17,7,1,3
292,1,2010-12-26,19,18,1,2
293,1,2010-09-26,9,3,2,2
294,1,2010-09-26,17,4,1,2
295,1,2010-09-26,19,15,1,2
296,1,2011-02-27,7,5,1,1
297,1,2011-02-27,14,2,3,1
298,1,2010-11-28,17,20,1,1
299,1,2010-11-28,12,2,2,1
300,1,2010-08-29,15,16,1,0
301,1,2010-08-29,9,11,2,2
302,1,2010-08-29,2,13,1,0
303,1,2010-08-29,8,7,1,0
304,1,2011-04-03,5,1,3,0
305,1,2011-04-03,7,8,5,0
306,1,2010-10-03,20,10,2,0
307,1,2010-10-03,2,1,1,2
308,1,2010-10-03,7,17,2,1
309,1,2010-10-31,15,11,0,0
310,1,2010-10-31,9,2,0,1
311,1,2010-10-31,17,8,5,1
312,1,2010-12-05,8,14,1,0
313,1,2010-12-05,13,17,3,1
314,1,2011-02-06,20,2,0,1
315,1,2011-02-06,14,11,0,1
316,1,2011-03-06,2,3,3,1
317,1,2011-03-06,19,12,3,3
318,1,2010-11-07,10,17,0,1
319,1,2010-11-07,2,20,2,0
320,1,2010-11-07,13,7,0,2
321,1,2011-05-08,3,20,2,1
322,1,2011-05-08,4,10,3,1
323,1,2011-05-08,19,13,3,1
324,1,2011-02-01,10,16,2,1
325,1,2011-02-01,3,15,3,1
326,1,2011-02-01,8,20,2,4
327,1,2011-02-01,13,18,2,2
328,1,2011-03-01,20,3,2,1
329,1,2011-05-10,7,12,1,0
330,1,2011-02-15,11,17,0,2
331,1,2011-05-17,7,4,3,0
332,1,2011-04-19,17,3,0,0
333,1,2011-02-22,1,12,3,1
334,1,2011-01-25,1,3,2,3
335,1,2011-01-25,18,15,1,2
336,1,2011-04-26,4,19,3,0
337,1,2010-12-28,11,3,1,1
338,1,2010-12-28,7,15,4,0
339,1,2010-12-28,4,5,0,2
340,1,2010-12-28,8,1,0,2
341,1,2010-12-28,12,17,2,0
342,1,2010-12-28,13,6,1,3
343,1,2010-12-28,14,16,1,1
344,1,2011-01-04,1,11,1,2
345,1,2011-01-04,5,13,3,0
346,1,2011-01-04,3,4,2,1
347,1,2010-11-09,4,11,3,2
348,1,2010-11-09,12,8,1,1
349,1,2010-11-10,15,1,3,2
350,1,2010-11-10,20,5,1,0
351,1,2010-11-10,16,9,1,1
352,1,2010-11-10,7,3,0,0
353,1,2010-11-10,17,6,1,2
354,1,2010-11-10,14,13,2,2
355,1,2010-11-10,18,2,1,1
356,1,2010-11-10,19,10,0,2
357,1,2011-01-12,1,2,2,1
358,1,2011-02-02,11,7,2,2
359,1,2011-02-02,6,12,0,1
360,1,2011-02-02,1,14,1,3
361,1,2011-02-02,9,19,1,0
362,1,2011-02-02,5,17,1,0
363,1,2011-02-02,2,4,2,0
364,1,2011-04-20,20,11,3,1
365,1,2011-04-20,12,10,3,3
366,1,2011-02-23,10,4,1,0
367,1,2011-01-26,2,5,1,0
368,1,2011-04-27,5,9,3,0
369,1,2010-12-29,20,9,1,0
370,1,2010-12-29,2,19,0,1
371,1,2010-12-29,18,10,2,2
372,1,2011-01-05,10,7,0,0
373,1,2011-01-05,15,8,0,1
374,1,2011-01-05,6,2,3,1
375,1,2011-01-05,9,18,1,1
376,1,2011-01-05,16,12,2,1
377,1,2011-01-05,17,14,5,0
378,1,2011-01-05,19,20,1,0
379,1,2011-03-09,16,11,1,1
380,2,2011-12-30,2,17,3,1
381,2,2012-04-06,21,17,0,2
382,2,2011-12-12,20,7,2,1
383,2,2012-03-12,10,17,2,1
384,2,2011-09-12,22,17,0,0
385,2,2011-08-15,7,21,4,0
386,2,2012-04-16,10,18,1,2
387,2,2012-01-16,18,7,0,1
388,2,2012-04-02,6,3,0,2
389,2,2012-01-02,15,21,0,2
390,2,2012-01-02,6,4,1,2
391,2,2012-01-02,5,10,2,1
392,2,2012-01-02,22,23,1,2
393,2,2012-01-02,19,20,1,2
394,2,2011-11-21,12,15,2,0
395,2,2011-08-22,3,12,3,0
396,2,2011-12-26,9,17,0,2
397,2,2011-12-26,20,5,1,1
398,2,2011-12-26,2,6,1,1
399,2,2011-12-26,3,18,5,0
400,2,2011-12-26,4,15,0,0
401,2,2011-12-26,8,16,1,1
402,2,2011-12-26,13,7,0,0
403,2,2012-03-26,3,5,1,0
404,2,2011-09-26,23,8,2,1
405,2,2012-04-30,7,3,1,0
406,2,2011-10-31,4,17,1,3
